# procstat.dat: 0.5s poll of utime+stime (jiffies, unused HZ=100 typical) for ctrl(217) ble(203)
# media(204) cloud(272) watchdog(202), in that column order after the leading unix timestamp.
# Trimmed to unix 1789629755-1789629790, bracketing the round-2 landing at [1789629773,1789629775).
# Purpose: identify which vendor process is active when BOWL_FILL_1 lands, now that live capture
# shows no correlated bus/UART traffic. Result: inconclusive at this 0.5s/tick granularity -- see
# docs/34-bowl-fill-surplus.md Part 6 (media's own baseline CPU usage from continuous video/AI
# work is too noisy to isolate a single-store-instruction burst; ctrl/ble/cloud/watchdog show no
# burst of any kind, consistent with the write never reaching the bus or UART at all).
1789629755 10263 3964 1795747 1615 2923
1789629755 10264 3964 1795785 1615 2923
1789629756 10265 3964 1795825 1615 2923
1789629756 10265 3964 1795862 1615 2924
1789629757 10266 3964 1795903 1615 2924
1789629758 10266 3965 1795943 1615 2924
1789629758 10266 3965 1795982 1615 2924
1789629759 10266 3965 1796019 1615 2924
1789629759 10266 3965 1796061 1615 2924
1789629760 10267 3966 1796102 1615 2924
1789629760 10267 3966 1796140 1615 2924
1789629761 10267 3966 1796180 1615 2924
1789629761 10268 3966 1796216 1615 2924
1789629762 10268 3966 1796256 1615 2924
1789629763 10269 3967 1796296 1615 2924
1789629763 10269 3967 1796337 1615 2924
1789629764 10270 3967 1796375 1615 2924
1789629764 10270 3967 1796414 1615 2924
1789629765 10270 3967 1796453 1615 2924
1789629765 10270 3967 1796494 1615 2924
1789629766 10271 3968 1796535 1615 2924
1789629766 10271 3969 1796574 1615 2926
1789629767 10271 3969 1796612 1615 2926
1789629767 10271 3969 1796653 1615 2926
1789629768 10272 3969 1796692 1615 2926
1789629769 10272 3969 1796734 1615 2926
1789629769 10273 3969 1796780 1615 2926
1789629770 10273 3969 1796819 1615 2926
1789629770 10273 3970 1796859 1616 2926
1789629771 10274 3970 1796896 1616 2926
1789629771 10274 3970 1796935 1616 2926
1789629772 10275 3971 1796976 1616 2926
1789629773 10275 3971 1797015 1616 2926
1789629773 10275 3971 1797055 1616 2926
1789629774 10275 3971 1797093 1616 2926
1789629774 10276 3971 1797144 1616 2926
1789629775 10276 3973 1797184 1616 2926
1789629775 10277 3973 1797225 1616 2926
1789629776 10277 3973 1797262 1616 2926
1789629776 10278 3973 1797302 1616 2926
1789629777 10278 3973 1797341 1616 2926
1789629778 10278 3973 1797381 1616 2926
1789629778 10279 3973 1797420 1616 2926
1789629779 10279 3974 1797463 1616 2926
1789629779 10279 3974 1797501 1616 2926
1789629780 10280 3974 1797539 1616 2926
1789629780 10280 3974 1797577 1616 2926
1789629781 10280 3974 1797616 1616 2926
1789629781 10281 3974 1797656 1616 2926
1789629782 10281 3975 1797698 1616 2927
1789629783 10281 3975 1797736 1616 2927
1789629783 10281 3976 1797775 1616 2927
1789629784 10281 3976 1797816 1616 2927
1789629784 10282 3976 1797856 1616 2927
1789629785 10283 3977 1797896 1616 2927
1789629785 10283 3977 1797936 1616 2927
1789629786 10283 3977 1797975 1616 2927
1789629786 10283 3977 1798014 1616 2927
1789629787 10283 3977 1798055 1616 2927
1789629788 10284 3977 1798095 1616 2927
1789629788 10284 3977 1798134 1616 2927
1789629789 10284 3978 1798170 1616 2927
1789629789 10285 3978 1798213 1616 2927
1789629790 10285 3978 1798248 1616 2927
1789629790 10286 3978 1798290 1616 2927
