# fill2.dat: 2s poll of `date +%s` + hexdump -C of the 8 bytes at config_shm+9916.
# Trimmed to unix 1789629677-1789629787 (brackets the landing at [1789629773,1789629775)).
# Note the device's own bowl_fill value is still 44 throughout -- the SAME value as round 1,
# hours-scale stable, consistent with it not having changed physically between the two runs.
1789629677 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629679 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629681 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629683 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629685 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629687 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629689 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629691 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629693 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629695 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629697 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629699 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629701 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629703 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629706 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629708 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629710 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629712 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629714 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629716 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629718 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629720 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629722 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629724 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629726 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629728 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629730 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629732 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629734 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629736 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629738 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629740 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629742 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629744 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629746 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629748 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629750 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629752 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629754 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629756 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629758 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629760 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629762 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629765 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629767 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629769 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629771 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629773 00000000  ff ff ff ff ff ff ff ff                           |........|
1789629775 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629777 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629779 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629781 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629783 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629785 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
1789629787 00000000  2c 00 00 00 ff ff ff ff                           |,.......|
